iter	Passed	Remaining
0	54	54072
1	54	27358
2	55	18450
3	56	14036
4	57	11348
5	57	9553
6	58	8260
7	58	7284
8	59	6521
9	59	5923
10	63	5712
11	64	5279
12	64	4913
13	65	4599
14	65	4325
15	66	4083
16	66	3868
17	67	3681
18	67	3509
19	68	3355
20	69	3217
21	69	3093
22	70	2980
23	70	2879
24	71	2784
25	72	2698
26	72	2613
27	73	2558
28	74	2489
29	74	2420
30	75	2359
31	76	2299
32	77	2263
33	78	2219
34	78	2169
35	79	2120
36	79	2074
37	80	2030
38	80	1986
39	81	1946
40	81	1906
41	82	1872
42	82	1839
43	83	1806
44	83	1776
45	84	1747
46	84	1719
47	85	1695
48	86	1672
49	86	1649
50	87	1624
51	87	1600
52	88	1577
53	88	1555
54	89	1536
55	91	1539
56	92	1525
57	92	1507
58	93	1487
59	93	1468
60	94	1451
61	94	1435
62	95	1419
63	95	1403
64	96	1388
65	97	1373
66	97	1360
67	98	1346
68	98	1333
69	99	1319
70	100	1308
71	100	1296
72	101	1285
73	101	1273
74	102	1260
75	103	1259
76	104	1248
77	104	1239
78	105	1228
79	105	1218
80	106	1208
81	107	1201
82	107	1188
83	108	1178
84	108	1168
85	109	1159
86	109	1149
87	110	1141
88	111	1137
89	111	1130
90	112	1121
91	112	1113
92	113	1104
93	113	1097
94	114	1091
95	115	1084
96	115	1076
97	116	1068
98	116	1061
99	117	1053
100	117	1046
101	118	1039
102	118	1032
103	119	1026
104	119	1019
105	120	1017
106	122	1018
107	122	1012
108	123	1007
109	123	1001
110	124	995
111	124	989
112	125	983
113	125	978
114	126	973
115	127	968
116	127	962
117	128	957
118	128	954
119	129	949
120	129	944
121	130	938
122	130	933
123	131	928
124	131	923
125	132	919
126	132	913
127	137	935
128	138	933
129	139	930
130	139	925
131	140	921
132	140	916
133	141	912
134	142	910
135	142	906
136	143	903
137	144	900
138	144	896
139	145	892
140	147	901
141	148	897
142	149	894
143	149	890
144	150	888
145	151	884
146	151	880
147	152	876
148	152	872
149	153	869
150	153	865
151	154	861
152	154	857
153	155	854
154	155	850
155	156	847
156	157	845
157	158	843
158	158	839
159	159	836
160	163	849
161	163	847
162	164	845
163	165	842
164	165	838
165	166	835
166	166	832
167	167	830
168	168	826
169	168	824
170	169	820
171	170	818
172	171	817
173	171	814
174	172	812
175	172	809
176	174	811
177	175	808
178	176	807
179	176	804
180	177	801
181	177	797
182	177	794
183	178	791
184	178	787
185	179	787
186	180	786
187	181	783
188	182	781
189	182	778
190	183	776
191	183	773
192	184	771
193	185	769
194	185	766
195	186	763
196	186	760
197	187	757
198	189	760
199	190	761
200	190	758
201	191	756
202	191	753
203	192	750
204	192	748
205	193	745
206	193	742
207	194	740
208	195	738
209	195	736
210	196	733
211	196	731
212	197	728
213	198	728
214	198	726
215	199	724
216	200	722
217	201	723
218	202	722
219	203	720
220	204	719
221	204	717
222	205	714
223	205	712
224	206	711
225	207	709
226	207	706
227	208	705
228	208	702
229	209	700
230	209	699
231	210	696
232	211	695
233	211	693
234	212	691
235	212	689
236	213	686
237	213	684
238	214	682
239	214	679
240	215	677
241	215	675
242	217	678
243	219	680
244	220	678
245	220	676
246	221	674
247	221	672
248	222	670
249	223	669
250	223	667
251	224	665
252	224	663
253	225	661
254	225	660
255	226	659
256	227	657
257	227	655
258	228	653
259	228	651
260	229	650
261	230	648
262	230	646
263	231	645
264	233	646
265	233	644
266	234	643
267	234	641
268	235	639
269	235	637
270	236	635
271	236	633
272	237	631
273	237	629
274	238	628
275	239	627
276	239	625
277	240	623
278	240	622
279	241	621
280	242	620
281	242	618
282	243	617
283	244	617
284	245	616
285	246	615
286	246	613
287	247	611
288	247	609
289	248	608
290	248	606
291	249	604
292	249	602
293	250	600
294	250	598
295	251	597
296	251	596
297	252	594
298	253	593
299	253	592
300	254	590
301	255	589
302	255	588
303	256	586
304	256	584
305	256	582
306	257	581
307	257	579
308	258	578
309	260	579
310	261	579
311	261	577
312	262	576
313	262	574
314	263	572
315	263	571
316	264	569
317	264	568
318	265	566
319	265	565
320	266	563
321	267	562
322	267	560
323	268	559
324	268	558
325	269	557
326	270	556
327	270	554
328	271	553
329	271	551
330	272	549
331	273	549
332	274	549
333	274	548
334	275	546
335	275	545
336	276	543
337	276	542
338	277	540
339	277	539
340	278	537
341	278	536
342	279	535
343	280	534
344	280	533
345	281	531
346	281	530
347	282	529
348	282	527
349	283	526
350	283	524
351	284	523
352	285	522
353	285	521
354	286	519
355	287	520
356	288	519
357	289	518
358	289	517
359	290	515
360	290	514
361	291	513
362	291	512
363	292	510
364	292	509
365	293	508
366	293	507
367	294	505
368	294	504
369	295	502
370	295	501
371	296	500
372	297	499
373	297	498
374	299	499
375	300	497
376	300	496
377	302	497
378	302	496
379	303	494
380	303	493
381	304	492
382	304	490
383	305	489
384	305	488
